testing_image,nlist,nprobe,output_indices,acc,index_time,search_time
../geological_similarity/schist/TEJ1Y.jpg,50.0,1.0,"[29065 29324 27004 26821 27955 29569 27275 27843 28530 27067 28679 25961
 28577 25317 25690 28043 25357 29481 29796 28290 27573 28797 28101 27760
 25284 27372 26838 26551 25255 28976 27500 26253 28447 25061 26995 25176
 27344 25116 25828 27978 29690 27487 28854 25799 26030 28028 28799 29607
 26644 25738]",0.12,0.8030030727386475,0.01800084114074707
../geological_similarity/marble/13P1E.jpg,50.0,1.0,"[10152 13203 13641 13701 11430 13093 11181 14468 11653 14762 13716 14308
 13470 10974 11795 12158 14369 12208 10479 10448 10619 11682 10682 12731
 12396 14907 12016 12489 14632 12205 10253 12790 12787 10032 11967 12762
 10158 13224 14671 13629 11315 14752 13121 12356 12145 12613 14253 10020
 12670 13838]",1.0,0.8030030727386475,0.01599860191345215
../geological_similarity/andesite/RRGXD.jpg,50.0,1.0,"[3818  573 4126 2710 1118 1109 1576 1115 4373 4813 4795  435 2516 3101
 3076 3858 3270  536 4679   12 1570 2305 3430  490 4023 2743 1685 1669
  891 3085  738 2578 1527 3530 3766 4253 4670 2910 1672 1345 1726 3431
  858 2674 4727  623 2346 3071 3303 2166]",1.0,0.8030030727386475,0.02200174331665039
../geological_similarity/schist/PEVYX.jpg,50.0,1.0,"[28534 26574 26369 25772 29034 26452 25824 29192 25739 29140 25575 25744
 29677 26400 26338 29827 28692 25629 27866 25580 27825 28931 27576 28853
 29893 29126 29693 26178 29485 26841 29568 25391 26778 28085 25499 27939
 29764 28060 26675 29984 26840 25814 28453 28719 28798 27968 29963  7446
 27460 27252]",0.98,0.8030030727386475,0.025022506713867188
../geological_similarity/schist/66ZT7.jpg,50.0,1.0,"[25850 27277 28950 29345 27094 25049 25192 27891 29662 27099 29668 28356
 27001 29854 26291 26694 27681 26932 28948 26479 29864 28657 29847 27872
 28181 26880 25853 27421 25024 27210 26104 25246 27557 28963 29935 25559
 29041 29507 28471  3306 29347  1216 25197 28783 27064 28998  3985 25922
 25843 26844]",0.7,0.8030030727386475,0.018979787826538086
../geological_similarity/marble/6CLSI.jpg,50.0,1.0,"[10908 11232 11966 10751 10111 13412 10452 12230 13073 10958 14127 13198
 10301 10841 11768 12856 14531 12938 12445 11615 11489 14408 10535 13921
 10931 11905 14880 10986 11913 14816 10655 13578 10330 12817 10855 14821
 13616 12387 13718 10483 14084 11259 14870 13088 13671 13331 14865 13839
 11120 12964]",1.0,0.8030030727386475,0.021003007888793945
../geological_similarity/quartzite/NHUYS.jpg,50.0,1.0,"[18257  2669 18899 19892 15925   270 16313 17656   929 15855 17067 19441
  2744 17429 16672   600 17843 15989 17207 19496 17732 16564 18154 15902
 19468 16796 19492 15863 17001 17151 16478 16180 19255 15814 16965  4378
 18134 15324 17829 18806 19672 15007  3537 18642 18171 18754 18604 17682
  3100 17846]",1.0,0.8030030727386475,0.025998592376708984
../geological_similarity/schist/4U82N.jpg,50.0,1.0,"[25650 27424 27230 28621 27914  1436 25323 28005 27412 29503 29659 28199
 25817 27182 27443 29985 25918 28315 27831 28764 28307 27376 27160 28721
 28196 26228 28924 27596 26430 28513 25700 26550 27841 25725 27114 28722
  1768 27500 28426 27920 25458 29798 26805 25504 25223 25780 26134 25377
 29902 27838]",0.24,0.8030030727386475,0.017998456954956055
../geological_similarity/rhyolite/NGW1J.jpg,50.0,1.0,"[23338 24270 21763 21811 23795 22296  1965 23524 24813 24151 20813 21774
 23490 23525 22078  4745 23037 24583 23475 23923   546 24542 22541 24318
 21973 22345 23584 22339 22049 22653 20282 20046   333 20339 21982 20387
 23439 22100 21209 24831  2876 21252 21693 24047 21830  3317 24587 21564
 22692 21866]",0.7,0.8030030727386475,0.015994787216186523
../geological_similarity/schist/BNXPM.jpg,50.0,1.0,"[26601 25469 27559 26762 29125 26935 28604 25148 28585 27159 29557 26125
 29352 28952 28465  6914 28483 28357 29545  9310 25060  7722 28476 25619
 25748 25177 26788 28661 26976  7629 26347 26892 26584 27882 27812 25977
 27907 27719 29895 28164 25740  8824 29364 28254 29315  7968 25322 25242
 26204 28116]",0.02,0.8030030727386475,0.01700115203857422
../geological_similarity/rhyolite/CZIVC.jpg,50.0,1.0,"[21816 24197 21754 21017 22695 24537  3856 20589 24845  2915 22233 21007
 21556  3718 21687 21160 20360 21978 24629 22785 23174 21571 22755  4983
  2770 20743  4403 23243 20218  2503 21454 20038 24980 24827 24388  3265
 22487 24825  3642 24651 24183 23658 23736 23269 22181   555 21797 24124
 23994 20114]",0.46,0.8030030727386475,0.01900196075439453
