nbits,test_images,random_images_sim,time,output_indices,number_of_similar_images
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/TEJ1Y.jpg,0.9794476,0.0003840923309326172,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/13P1E.jpg,0.97120404,0.00039124488830566406,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/RRGXD.jpg,0.98506683,0.0003058910369873047,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/PEVYX.jpg,0.98090136,0.0002989768981933594,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/66ZT7.jpg,0.9874761,0.000270843505859375,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/6CLSI.jpg,0.9816079,0.0002586841583251953,"[0, 2]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/NHUYS.jpg,0.9842206,0.0002949237823486328,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/4U82N.jpg,0.9849429,0.00033402442932128906,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/NGW1J.jpg,0.9841855,0.00030303001403808594,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/BNXPM.jpg,0.98039305,0.0002970695495605469,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/CZIVC.jpg,0.98242414,0.0003192424774169922,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/UVK6S.jpg,0.97800434,0.0003001689910888672,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/gneiss/AQWU7.jpg,0.9789646,0.0003650188446044922,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/B39AI.jpg,0.98205155,0.00036978721618652344,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/DCHOS.jpg,0.9824983,0.00021600723266601562,"[2, 11]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/3WBP6.jpg,0.9869899,0.00029778480529785156,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/4WITK.jpg,0.97937644,0.0005290508270263672,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/CM3SF.jpg,0.9827847,0.0002999305725097656,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/CTYZM.jpg,0.9853947,0.00032210350036621094,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/94WJ8.jpg,0.9849747,0.0002911090850830078,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/5N0EW.jpg,0.9861779,0.0001709461212158203,"[82, 90]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/gneiss/SKDTL.jpg,0.97488695,0.0003018379211425781,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/RETXJ.jpg,0.98433995,0.0003001689910888672,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/76MEJ.jpg,0.98437524,0.00019669532775878906,"[1, 4]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/90EYL.jpg,0.9823712,0.0004172325134277344,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/NN9S5.jpg,0.9886711,0.00038504600524902344,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/F28KQ.jpg,0.98285735,0.00019621849060058594,"[0, 5]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/SUK5N.jpg,0.9824693,0.00037980079650878906,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/SD5XB.jpg,0.97928464,0.00035381317138671875,"[0, 2]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/MIA2D.jpg,0.9847997,0.0003750324249267578,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/KXGQP.jpg,0.988161,0.00031113624572753906,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/SNJ8U.jpg,0.97813,0.0002720355987548828,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/71DA2.jpg,0.98463666,0.0002930164337158203,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/gneiss/N8RSU.jpg,0.975341,0.00034999847412109375,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/0QWCD.jpg,0.9815661,0.0006060600280761719,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/HIGW8.jpg,0.974287,0.0001971721649169922,"[57, 90]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/HSM5H.jpg,0.979004,0.000308990478515625,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/gneiss/RQWHB.jpg,0.9772297,0.00030303001403808594,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/VSGIJ.jpg,0.9784926,0.00031685829162597656,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/gneiss/N2XWS.jpg,0.96846604,0.00030303001403808594,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/PEGIO.jpg,0.98385334,0.0003380775451660156,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/JTPSE.jpg,0.9717702,0.0002999305725097656,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/LYRS2.jpg,0.9868597,0.0003058910369873047,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/XY5WG.jpg,0.98113245,0.00024890899658203125,"[0, 2]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/rhyolite/E8AZJ.jpg,0.9822434,0.0002040863037109375,"[0, 2]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/QOIA1.jpg,0.97850186,0.00037288665771484375,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/3OMB6.jpg,0.98510516,0.00040078163146972656,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/gneiss/UP0RI.jpg,0.9692718,0.0003039836883544922,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/andesite/GKHED.jpg,0.9890544,0.0003039836883544922,"[0, 2]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/Q7GHO.jpg,0.9704484,0.00037407875061035156,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/schist/7Q6KQ.jpg,0.9844451,0.0003120899200439453,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/IHR0X.jpg,0.983984,0.00029587745666503906,"[0, 1]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/quartzite/STPZD.jpg,0.97340083,0.0002582073211669922,"[1, 3]",2
2.0,/Users/abhishekvaidyanathan/Downloads/geological_similarity/marble/G0OPD.jpg,0.98769844,0.0002849102020263672,"[0, 1]",2
