indexA,indexB,label,sim,dist,preds
25280,10540,0,-0.02633349597454071,10540.703125,0
18931,16418,1,0.999046266078949,188.170654296875,1
26017,27118,1,0.9950531125068665,3348.7099609375,1
20307,23235,1,0.9997689127922058,900.5487060546875,1
4332,13193,0,-0.02243059314787388,7599.54736328125,0
18024,7222,0,-0.04822751507163048,16457.455078125,0
20921,22214,1,0.9997653365135193,377.6156005859375,1
25507,5637,0,-0.04554538428783417,4569.94384765625,0
18425,15565,1,0.9990452527999878,11593.896484375,1
24814,19667,0,-0.0757114440202713,7178.78466796875,0
25867,28221,1,0.9996703267097473,3902.689208984375,1
19996,3711,0,0.05732327327132225,6402.64208984375,0
4866,26259,0,-0.01279132254421711,7843.8349609375,0
12626,12486,1,0.9999850392341614,1314.8804931640625,1
20063,13565,0,-0.05565084144473076,8155.201171875,0
6052,755,0,-0.019682584330439568,4228.40478515625,0
24701,27972,0,-0.049653515219688416,6615.7216796875,0
16169,17889,1,0.9993987679481506,4237.96533203125,1
5970,12808,0,-0.06455682218074799,4939.90087890625,0
2051,1736,1,0.9999015927314758,310.8860778808594,1
3560,1457,1,0.9995210766792297,1734.3612060546875,1
18517,12518,0,-0.05812574177980423,5340.3935546875,0
16161,11348,0,-0.05937094986438751,6218.0205078125,0
2269,2996,1,0.9995131492614746,869.6243286132812,1
21142,22669,1,0.9998337030410767,3374.3349609375,1
23707,24488,1,0.9997962713241577,623.0074462890625,1
20469,22885,1,0.9993677139282227,953.17822265625,1
24922,22538,1,0.9998778104782104,1363.3331298828125,1
14867,12335,1,0.9997876286506653,242.97024536132812,1
13880,25946,0,-0.029102178290486336,5807.13671875,0
23619,23527,1,0.9988715648651123,1820.5859375,1
23798,8050,0,-0.04794291779398918,6320.4189453125,0
1512,8328,0,-0.021909212693572044,5840.1259765625,0
22663,21756,1,0.999906063079834,2670.446044921875,1
21510,23329,1,0.9983583092689514,1820.4853515625,1
6283,9798,1,0.9996474981307983,338.502197265625,1
23945,10555,0,-0.01802682876586914,4740.8935546875,0
19752,19824,1,0.999782383441925,2213.369140625,1
28,573,1,0.9990901350975037,12208.0517578125,1
14873,15182,0,-0.04629933834075928,12212.890625,0
1699,3403,1,0.9918118119239807,5107.14013671875,1
25099,12907,0,-0.03336699679493904,7620.9833984375,0
22103,6216,0,-0.046990882605314255,6153.0087890625,0
4633,3112,1,0.9986976385116577,2320.3095703125,1
1583,2445,1,0.9997380375862122,2045.3714599609375,1
24220,24946,1,0.9995555877685547,3439.2470703125,1
18839,10513,0,-0.061323683708906174,8336.439453125,0
19438,12524,0,-0.055513761937618256,7878.85205078125,0
13631,12961,1,0.999921441078186,678.02490234375,1
13009,19879,0,-0.04436798766255379,13803.93359375,0
20874,13535,0,-0.04534140229225159,5971.58447265625,0
28465,9837,0,-0.04885487258434296,6060.45361328125,0
27844,17064,0,-0.02196924015879631,6503.37890625,0
20001,27042,0,-0.03391685336828232,6003.87744140625,0
26762,9924,0,-0.00292810401879251,6450.74462890625,0
15946,18096,1,0.9995532035827637,9234.7421875,1
21104,23489,1,0.9998682737350464,2183.408203125,1
1955,1109,1,0.9996128082275391,766.9780883789062,1
21831,22815,1,0.9996920228004456,928.894775390625,1
28748,568,0,-0.016081882640719414,7298.33740234375,0
7268,3648,0,-0.02922273427248001,7498.3779296875,0
8236,24952,0,-0.06552146375179291,5455.3720703125,0
20420,20641,1,0.9993734955787659,568.8519897460938,1
22657,24821,1,0.9991980791091919,846.5518798828125,1
28917,26639,1,0.9997214674949646,246.31788635253906,1
25747,21375,0,-0.04048997163772583,7122.18359375,0
11392,20552,0,-0.06934614479541779,6448.14111328125,0
24614,14402,0,-0.07130728662014008,6920.13525390625,0
1904,4253,1,0.9998067021369934,2240.614990234375,1
24897,19275,0,-0.03342839330434799,8496.916015625,0
22580,957,0,-0.016924893483519554,5402.37939453125,0
10454,11070,1,0.9999650716781616,517.3246459960938,1
8008,3539,0,-0.02940152958035469,6277.32958984375,0
2690,19949,0,-0.027812430635094643,8294.8212890625,0
14806,16480,0,-0.05044974759221077,9497.28125,0
24187,20265,1,0.9983326196670532,706.0074462890625,1
14172,13782,1,0.9999604821205139,831.4779663085938,1
14921,1399,0,-0.01769190840423107,6970.38525390625,0
26529,8469,0,-0.07196039706468582,10541.107421875,0
9813,9379,1,0.9993519186973572,778.9937744140625,1
25708,25359,1,0.9998862743377686,1539.2845458984375,1
5523,14114,0,-0.038023851811885834,7353.62353515625,0
27153,11665,0,-0.028393883258104324,8320.5458984375,0
27844,27190,1,0.9998557567596436,3873.572021484375,1
5504,6941,1,0.9997481107711792,8024.8623046875,1
44,29603,0,-0.04204094409942627,6379.83642578125,0
26592,5315,0,-0.044216353446245193,4800.89599609375,0
107,2181,1,0.999355137348175,790.95556640625,1
29386,26944,1,0.9998496770858765,3993.561767578125,1
18825,9623,0,-0.0524810329079628,7157.85009765625,0
9986,21515,0,-0.04318038746714592,7001.7138671875,0
5416,22412,0,-0.06243662163615227,7653.42724609375,0
17673,19506,1,0.9998990297317505,7942.068359375,1
13885,13716,1,0.9998613595962524,108.58358764648438,1
19188,20192,0,-0.0459652841091156,14299.80859375,0
18541,2306,0,-0.024930356070399284,12456.0966796875,0
8465,29260,0,-0.053117748349905014,9821.287109375,0
9543,10595,0,-0.04596512392163277,7429.4228515625,0
27376,24313,0,-0.028313005343079567,5942.11865234375,0
3077,2628,1,0.999581515789032,9897.5732421875,1
11828,26183,0,-0.022617297247052193,6981.412109375,0
24682,22798,1,0.9999074935913086,3309.69287109375,1
