location,label
../geological_similarity\andesite\012L6.jpg,0
../geological_similarity\andesite\01ITR.jpg,0
../geological_similarity\andesite\01LQQ.jpg,0
../geological_similarity\andesite\0230P.jpg,0
../geological_similarity\andesite\02741.jpg,0
../geological_similarity\andesite\02Q0N.jpg,0
../geological_similarity\andesite\02UT8.jpg,0
../geological_similarity\andesite\02V0N.jpg,0
../geological_similarity\andesite\031XF.jpg,0
../geological_similarity\andesite\03GPU.jpg,0
../geological_similarity\andesite\03OSJ.jpg,0
../geological_similarity\andesite\03PIF.jpg,0
../geological_similarity\andesite\03VGY.jpg,0
../geological_similarity\andesite\03X8U.jpg,0
../geological_similarity\andesite\03XGF.jpg,0
../geological_similarity\andesite\03Z9A.jpg,0
../geological_similarity\andesite\041BX.jpg,0
../geological_similarity\andesite\049S1.jpg,0
../geological_similarity\andesite\04DX0.jpg,0
../geological_similarity\andesite\04NZL.jpg,0
../geological_similarity\andesite\04OYS.jpg,0
../geological_similarity\andesite\04SB9.jpg,0
../geological_similarity\andesite\04TUM.jpg,0
../geological_similarity\andesite\04ZDG.jpg,0
../geological_similarity\andesite\052HU.jpg,0
../geological_similarity\andesite\05BVI.jpg,0
../geological_similarity\andesite\05KA0.jpg,0
../geological_similarity\andesite\05S8U.jpg,0
../geological_similarity\andesite\06T98.jpg,0
../geological_similarity\andesite\06XZ1.jpg,0
../geological_similarity\andesite\076CA.jpg,0
../geological_similarity\andesite\07IND.jpg,0
../geological_similarity\andesite\083FQ.jpg,0
../geological_similarity\andesite\0883S.jpg,0
../geological_similarity\andesite\08FOQ.jpg,0
../geological_similarity\andesite\08X96.jpg,0
../geological_similarity\andesite\09ABP.jpg,0
../geological_similarity\andesite\0A5NL.jpg,0
../geological_similarity\andesite\0APW8.jpg,0
../geological_similarity\andesite\0AQBW.jpg,0
../geological_similarity\andesite\0BBCL.jpg,0
../geological_similarity\andesite\0BUG1.jpg,0
../geological_similarity\andesite\0CAYF.jpg,0
../geological_similarity\andesite\0CO7D.jpg,0
../geological_similarity\andesite\0CP5H.jpg,0
../geological_similarity\andesite\0CTGW.jpg,0
../geological_similarity\andesite\0DG4N.jpg,0
../geological_similarity\andesite\0DHSF.jpg,0
../geological_similarity\andesite\0DJHN.jpg,0
../geological_similarity\andesite\0DJWM.jpg,0
../geological_similarity\andesite\0DPF9.jpg,0
../geological_similarity\andesite\0DUXP.jpg,0
../geological_similarity\andesite\0EKHX.jpg,0
../geological_similarity\andesite\0EO3R.jpg,0
../geological_similarity\andesite\0F0VP.jpg,0
../geological_similarity\andesite\0FDJG.jpg,0
../geological_similarity\andesite\0FDRJ.jpg,0
../geological_similarity\andesite\0FGVQ.jpg,0
../geological_similarity\andesite\0FHUV.jpg,0
../geological_similarity\andesite\0FNZ8.jpg,0
../geological_similarity\andesite\0FQPC.jpg,0
../geological_similarity\andesite\0FVDN.jpg,0
../geological_similarity\andesite\0FW81.jpg,0
../geological_similarity\andesite\0G9JT.jpg,0
../geological_similarity\andesite\0GB4B.jpg,0
../geological_similarity\andesite\0GI41.jpg,0
../geological_similarity\andesite\0GPRK.jpg,0
../geological_similarity\andesite\0IF4E.jpg,0
../geological_similarity\andesite\0ILM1.jpg,0
../geological_similarity\andesite\0IU7T.jpg,0
../geological_similarity\andesite\0IUZE.jpg,0
../geological_similarity\andesite\0IVX3.jpg,0
../geological_similarity\andesite\0J628.jpg,0
../geological_similarity\andesite\0JC0L.jpg,0
../geological_similarity\andesite\0JDL9.jpg,0
../geological_similarity\andesite\0JJ0K.jpg,0
../geological_similarity\andesite\0JLU3.jpg,0
../geological_similarity\andesite\0JM47.jpg,0
../geological_similarity\andesite\0K7K7.jpg,0
../geological_similarity\andesite\0KD1O.jpg,0
../geological_similarity\andesite\0KNW2.jpg,0
../geological_similarity\andesite\0KQH2.jpg,0
../geological_similarity\andesite\0KS0V.jpg,0
../geological_similarity\andesite\0KTE2.jpg,0
../geological_similarity\andesite\0L3KF.jpg,0
../geological_similarity\andesite\0L488.jpg,0
../geological_similarity\andesite\0L51L.jpg,0
../geological_similarity\andesite\0LC7W.jpg,0
../geological_similarity\andesite\0LKQP.jpg,0
../geological_similarity\andesite\0LOF1.jpg,0
../geological_similarity\andesite\0M1BO.jpg,0
../geological_similarity\andesite\0M6H4.jpg,0
../geological_similarity\andesite\0MQVS.jpg,0
../geological_similarity\andesite\0MRO4.jpg,0
../geological_similarity\andesite\0MYHH.jpg,0
../geological_similarity\andesite\0N2DV.jpg,0
../geological_similarity\andesite\0N3JV.jpg,0
../geological_similarity\andesite\0N8VN.jpg,0
../geological_similarity\andesite\0NYLD.jpg,0
../geological_similarity\andesite\0O0A4.jpg,0
../geological_similarity\andesite\0OBOQ.jpg,0
../geological_similarity\andesite\0OF1T.jpg,0
../geological_similarity\andesite\0OFD9.jpg,0
../geological_similarity\andesite\0OL01.jpg,0
../geological_similarity\andesite\0OMT5.jpg,0
../geological_similarity\andesite\0OUZH.jpg,0
../geological_similarity\andesite\0P15I.jpg,0
../geological_similarity\andesite\0PVZK.jpg,0
../geological_similarity\andesite\0QL96.jpg,0
../geological_similarity\andesite\0RCWO.jpg,0
../geological_similarity\andesite\0RHZQ.jpg,0
../geological_similarity\andesite\0RIDC.jpg,0
../geological_similarity\andesite\0RLEP.jpg,0
../geological_similarity\andesite\0S5IG.jpg,0
../geological_similarity\andesite\0S6XY.jpg,0
../geological_similarity\andesite\0SD5F.jpg,0
../geological_similarity\andesite\0SV9X.jpg,0
../geological_similarity\andesite\0T3EK.jpg,0
../geological_similarity\andesite\0TKR6.jpg,0
../geological_similarity\andesite\0TLMK.jpg,0
../geological_similarity\andesite\0TQ2K.jpg,0
../geological_similarity\andesite\0TRME.jpg,0
../geological_similarity\andesite\0TVN7.jpg,0
../geological_similarity\andesite\0U0LR.jpg,0
../geological_similarity\andesite\0UCB4.jpg,0
../geological_similarity\andesite\0UHNC.jpg,0
../geological_similarity\andesite\0V324.jpg,0
../geological_similarity\andesite\0V571.jpg,0
../geological_similarity\andesite\0VT1X.jpg,0
../geological_similarity\andesite\0VTAJ.jpg,0
../geological_similarity\andesite\0WJDU.jpg,0
../geological_similarity\andesite\0WOO1.jpg,0
../geological_similarity\andesite\0XQI9.jpg,0
../geological_similarity\andesite\0XREV.jpg,0
../geological_similarity\andesite\0XXUT.jpg,0
../geological_similarity\andesite\0YCVK.jpg,0
../geological_similarity\andesite\0YFIS.jpg,0
../geological_similarity\andesite\0YHO9.jpg,0
../geological_similarity\andesite\0YKEH.jpg,0
../geological_similarity\andesite\0YY64.jpg,0
../geological_similarity\andesite\0Z2AO.jpg,0
../geological_similarity\andesite\0Z6PL.jpg,0
../geological_similarity\andesite\0ZA0B.jpg,0
../geological_similarity\andesite\0ZAU9.jpg,0
../geological_similarity\andesite\0ZH5U.jpg,0
../geological_similarity\andesite\0ZRMI.jpg,0
../geological_similarity\andesite\0ZXAT.jpg,0
../geological_similarity\andesite\104PQ.jpg,0
../geological_similarity\andesite\10DY6.jpg,0
../geological_similarity\andesite\10NFI.jpg,0
../geological_similarity\andesite\10TVJ.jpg,0
../geological_similarity\andesite\10UR1.jpg,0
../geological_similarity\andesite\112TS.jpg,0
../geological_similarity\andesite\113O7.jpg,0
../geological_similarity\andesite\11HNG.jpg,0
../geological_similarity\andesite\11MUA.jpg,0
../geological_similarity\andesite\11Y9X.jpg,0
../geological_similarity\andesite\121RN.jpg,0
../geological_similarity\andesite\130DL.jpg,0
../geological_similarity\andesite\130J0.jpg,0
../geological_similarity\andesite\132SU.jpg,0
../geological_similarity\andesite\134TH.jpg,0
../geological_similarity\andesite\13MRR.jpg,0
../geological_similarity\andesite\146UP.jpg,0
../geological_similarity\andesite\14UAT.jpg,0
../geological_similarity\andesite\163NE.jpg,0
../geological_similarity\andesite\166ZH.jpg,0
../geological_similarity\andesite\167DV.jpg,0
../geological_similarity\andesite\16Z1C.jpg,0
../geological_similarity\andesite\17J3P.jpg,0
../geological_similarity\andesite\17P5L.jpg,0
../geological_similarity\andesite\17WRQ.jpg,0
../geological_similarity\andesite\180ZP.jpg,0
../geological_similarity\andesite\189YZ.jpg,0
../geological_similarity\andesite\18AEK.jpg,0
../geological_similarity\andesite\18CY5.jpg,0
../geological_similarity\andesite\18EA0.jpg,0
../geological_similarity\andesite\18EMD.jpg,0
../geological_similarity\andesite\18GCE.jpg,0
../geological_similarity\andesite\18HPL.jpg,0
../geological_similarity\andesite\18K0I.jpg,0
../geological_similarity\andesite\18LUB.jpg,0
../geological_similarity\andesite\18LZ9.jpg,0
../geological_similarity\andesite\18M7W.jpg,0
../geological_similarity\andesite\191QC.jpg,0
../geological_similarity\andesite\19313.jpg,0
../geological_similarity\andesite\19KYQ.jpg,0
../geological_similarity\andesite\1A8A0.jpg,0
../geological_similarity\andesite\1A9NT.jpg,0
../geological_similarity\andesite\1ATXZ.jpg,0
../geological_similarity\andesite\1B0KW.jpg,0
../geological_similarity\andesite\1BSQD.jpg,0
../geological_similarity\andesite\1BWPU.jpg,0
../geological_similarity\andesite\1C1ER.jpg,0
../geological_similarity\andesite\1C778.jpg,0
../geological_similarity\andesite\1CC0L.jpg,0
../geological_similarity\andesite\1CJKG.jpg,0
../geological_similarity\andesite\1CQSI.jpg,0
../geological_similarity\andesite\1CT4D.jpg,0
../geological_similarity\andesite\1D6MF.jpg,0
../geological_similarity\andesite\1E5BE.jpg,0
../geological_similarity\andesite\1EAPQ.jpg,0
../geological_similarity\andesite\1ERC1.jpg,0
../geological_similarity\andesite\1EVOU.jpg,0
../geological_similarity\andesite\1F41Q.jpg,0
../geological_similarity\andesite\1F95Z.jpg,0
../geological_similarity\andesite\1FFG4.jpg,0
../geological_similarity\andesite\1FOZX.jpg,0
../geological_similarity\andesite\1FZZ0.jpg,0
../geological_similarity\andesite\1GE3A.jpg,0
../geological_similarity\andesite\1GYJ8.jpg,0
../geological_similarity\andesite\1H9U0.jpg,0
../geological_similarity\andesite\1HI47.jpg,0
../geological_similarity\andesite\1I1LJ.jpg,0
../geological_similarity\andesite\1I5G3.jpg,0
../geological_similarity\andesite\1INKZ.jpg,0
../geological_similarity\andesite\1IP99.jpg,0
../geological_similarity\andesite\1IWCM.jpg,0
../geological_similarity\andesite\1JDQC.jpg,0
../geological_similarity\andesite\1JE7R.jpg,0
../geological_similarity\andesite\1JO4M.jpg,0
../geological_similarity\andesite\1JOIO.jpg,0
../geological_similarity\andesite\1KERQ.jpg,0
../geological_similarity\andesite\1KGS3.jpg,0
../geological_similarity\andesite\1KHUQ.jpg,0
../geological_similarity\andesite\1KX2B.jpg,0
../geological_similarity\andesite\1LGKB.jpg,0
../geological_similarity\andesite\1MGDU.jpg,0
../geological_similarity\andesite\1MRP0.jpg,0
../geological_similarity\andesite\1MY8Y.jpg,0
../geological_similarity\andesite\1N1GZ.jpg,0
../geological_similarity\andesite\1N3PA.jpg,0
../geological_similarity\andesite\1NM04.jpg,0
../geological_similarity\andesite\1NM1I.jpg,0
../geological_similarity\andesite\1NRCK.jpg,0
../geological_similarity\andesite\1NZQH.jpg,0
../geological_similarity\andesite\1OBGW.jpg,0
../geological_similarity\andesite\1ONZI.jpg,0
../geological_similarity\andesite\1P0YB.jpg,0
../geological_similarity\andesite\1P8TW.jpg,0
../geological_similarity\andesite\1PNDU.jpg,0
../geological_similarity\andesite\1Q38F.jpg,0
../geological_similarity\andesite\1Q8QB.jpg,0
../geological_similarity\andesite\1QH4X.jpg,0
../geological_similarity\andesite\1QZ67.jpg,0
../geological_similarity\andesite\1R8KB.jpg,0
../geological_similarity\andesite\1RCKD.jpg,0
../geological_similarity\andesite\1RJ9W.jpg,0
../geological_similarity\andesite\1RSUM.jpg,0
../geological_similarity\andesite\1S8BQ.jpg,0
../geological_similarity\andesite\1SCWY.jpg,0
../geological_similarity\andesite\1SFRE.jpg,0
../geological_similarity\andesite\1SGRW.jpg,0
../geological_similarity\andesite\1SIZL.jpg,0
../geological_similarity\andesite\1SPCS.jpg,0
../geological_similarity\andesite\1T6J6.jpg,0
../geological_similarity\andesite\1T895.jpg,0
../geological_similarity\andesite\1TGXG.jpg,0
../geological_similarity\andesite\1TMTT.jpg,0
../geological_similarity\andesite\1U0CR.jpg,0
../geological_similarity\andesite\1U3SJ.jpg,0
../geological_similarity\andesite\1UHU2.jpg,0
../geological_similarity\andesite\1UUCM.jpg,0
../geological_similarity\andesite\1VB7A.jpg,0
../geological_similarity\andesite\1VLMT.jpg,0
../geological_similarity\andesite\1VZU5.jpg,0
../geological_similarity\andesite\1W32X.jpg,0
../geological_similarity\andesite\1W93C.jpg,0
../geological_similarity\andesite\1WOEB.jpg,0
../geological_similarity\andesite\1X0OH.jpg,0
../geological_similarity\andesite\1X2X6.jpg,0
../geological_similarity\andesite\1XQ3K.jpg,0
../geological_similarity\andesite\1XUO4.jpg,0
../geological_similarity\andesite\1XWO2.jpg,0
../geological_similarity\andesite\1Y1SB.jpg,0
../geological_similarity\andesite\1YILJ.jpg,0
../geological_similarity\andesite\1Z7UU.jpg,0
../geological_similarity\andesite\1ZE35.jpg,0
../geological_similarity\andesite\1ZEBJ.jpg,0
../geological_similarity\andesite\1ZGSA.jpg,0
../geological_similarity\andesite\1ZJ0G.jpg,0
../geological_similarity\andesite\1ZJVX.jpg,0
../geological_similarity\andesite\1ZWUQ.jpg,0
../geological_similarity\andesite\1ZXQD.jpg,0
../geological_similarity\andesite\20IH9.jpg,0
../geological_similarity\andesite\20WXP.jpg,0
../geological_similarity\andesite\20XR8.jpg,0
../geological_similarity\andesite\21A6H.jpg,0
../geological_similarity\andesite\21KWQ.jpg,0
../geological_similarity\andesite\22PUP.jpg,0
../geological_similarity\andesite\235VL.jpg,0
../geological_similarity\andesite\23UHV.jpg,0
../geological_similarity\andesite\23WXH.jpg,0
../geological_similarity\andesite\2439A.jpg,0
../geological_similarity\andesite\244AP.jpg,0
../geological_similarity\andesite\244M8.jpg,0
../geological_similarity\andesite\2452V.jpg,0
../geological_similarity\andesite\24ZEM.jpg,0
../geological_similarity\andesite\25SAM.jpg,0
../geological_similarity\andesite\25WOW.jpg,0
../geological_similarity\andesite\26DF7.jpg,0
../geological_similarity\andesite\26E2D.jpg,0
../geological_similarity\andesite\26K4C.jpg,0
../geological_similarity\andesite\26PN1.jpg,0
../geological_similarity\andesite\27JGE.jpg,0
../geological_similarity\andesite\27R5J.jpg,0
../geological_similarity\andesite\28E2E.jpg,0
../geological_similarity\andesite\28QPH.jpg,0
../geological_similarity\andesite\290P9.jpg,0
../geological_similarity\andesite\293WY.jpg,0
../geological_similarity\andesite\29JVJ.jpg,0
../geological_similarity\andesite\29LBO.jpg,0
../geological_similarity\andesite\29MDE.jpg,0
../geological_similarity\andesite\29PVB.jpg,0
../geological_similarity\andesite\29X7J.jpg,0
../geological_similarity\andesite\2A1GM.jpg,0
../geological_similarity\andesite\2A663.jpg,0
../geological_similarity\andesite\2AEMZ.jpg,0
../geological_similarity\andesite\2AOA9.jpg,0
../geological_similarity\andesite\2AOD4.jpg,0
../geological_similarity\andesite\2AS02.jpg,0
../geological_similarity\andesite\2B16A.jpg,0
../geological_similarity\andesite\2B23O.jpg,0
../geological_similarity\andesite\2B375.jpg,0
../geological_similarity\andesite\2BCIA.jpg,0
../geological_similarity\andesite\2BLRY.jpg,0
../geological_similarity\andesite\2BVY0.jpg,0
../geological_similarity\andesite\2CB5F.jpg,0
../geological_similarity\andesite\2CBMU.jpg,0
../geological_similarity\andesite\2CJ5G.jpg,0
../geological_similarity\andesite\2D2NF.jpg,0
../geological_similarity\andesite\2D4EJ.jpg,0
../geological_similarity\andesite\2D5OC.jpg,0
../geological_similarity\andesite\2E65R.jpg,0
../geological_similarity\andesite\2EIB1.jpg,0
../geological_similarity\andesite\2ES12.jpg,0
../geological_similarity\andesite\2F96N.jpg,0
../geological_similarity\andesite\2FEU5.jpg,0
../geological_similarity\andesite\2FO13.jpg,0
../geological_similarity\andesite\2FQ2B.jpg,0
../geological_similarity\andesite\2FRS0.jpg,0
../geological_similarity\andesite\2G9XN.jpg,0
../geological_similarity\andesite\2GMSM.jpg,0
../geological_similarity\andesite\2H3TW.jpg,0
../geological_similarity\andesite\2HPY5.jpg,0
../geological_similarity\andesite\2I09A.jpg,0
../geological_similarity\andesite\2I0S1.jpg,0
../geological_similarity\andesite\2I6R6.jpg,0
../geological_similarity\andesite\2I7W2.jpg,0
../geological_similarity\andesite\2IDY8.jpg,0
../geological_similarity\andesite\2IHN1.jpg,0
../geological_similarity\andesite\2IMLP.jpg,0
../geological_similarity\andesite\2IMPJ.jpg,0
../geological_similarity\andesite\2IN4R.jpg,0
../geological_similarity\andesite\2JKGM.jpg,0
../geological_similarity\andesite\2JKWR.jpg,0
../geological_similarity\andesite\2JMQ5.jpg,0
../geological_similarity\andesite\2JW6V.jpg,0
../geological_similarity\andesite\2JWAF.jpg,0
../geological_similarity\andesite\2K1YT.jpg,0
../geological_similarity\andesite\2KM9A.jpg,0
../geological_similarity\andesite\2KZ5G.jpg,0
../geological_similarity\andesite\2L2TC.jpg,0
../geological_similarity\andesite\2LGBH.jpg,0
../geological_similarity\andesite\2LNOA.jpg,0
../geological_similarity\andesite\2MH1N.jpg,0
../geological_similarity\andesite\2MRCO.jpg,0
../geological_similarity\andesite\2N3PT.jpg,0
../geological_similarity\andesite\2NKVX.jpg,0
../geological_similarity\andesite\2NVOX.jpg,0
../geological_similarity\andesite\2OGMT.jpg,0
../geological_similarity\andesite\2OIFH.jpg,0
../geological_similarity\andesite\2OYHY.jpg,0
../geological_similarity\andesite\2PFE9.jpg,0
../geological_similarity\andesite\2PM5L.jpg,0
../geological_similarity\andesite\2PNPB.jpg,0
../geological_similarity\andesite\2PXLN.jpg,0
../geological_similarity\andesite\2Q2CT.jpg,0
../geological_similarity\andesite\2Q5Y1.jpg,0
../geological_similarity\andesite\2QDPV.jpg,0
../geological_similarity\andesite\2QT3E.jpg,0
../geological_similarity\andesite\2R0ZU.jpg,0
../geological_similarity\andesite\2RDJY.jpg,0
../geological_similarity\andesite\2RHMW.jpg,0
../geological_similarity\andesite\2RT24.jpg,0
../geological_similarity\andesite\2SNQX.jpg,0
../geological_similarity\andesite\2SVUD.jpg,0
../geological_similarity\andesite\2SY97.jpg,0
../geological_similarity\andesite\2TBO1.jpg,0
../geological_similarity\andesite\2TG6L.jpg,0
../geological_similarity\andesite\2TTB2.jpg,0
../geological_similarity\andesite\2U8AW.jpg,0
../geological_similarity\andesite\2UFQF.jpg,0
../geological_similarity\andesite\2UL6T.jpg,0
../geological_similarity\andesite\2UR4X.jpg,0
../geological_similarity\andesite\2V7LS.jpg,0
../geological_similarity\andesite\2VEDE.jpg,0
../geological_similarity\andesite\2VIMX.jpg,0
../geological_similarity\andesite\2VSLP.jpg,0
../geological_similarity\andesite\2VUZ6.jpg,0
../geological_similarity\andesite\2W6GX.jpg,0
../geological_similarity\andesite\2W9D6.jpg,0
../geological_similarity\andesite\2WFHZ.jpg,0
../geological_similarity\andesite\2WHUJ.jpg,0
../geological_similarity\andesite\2XA19.jpg,0
../geological_similarity\andesite\2XYRH.jpg,0
../geological_similarity\andesite\2YF77.jpg,0
../geological_similarity\andesite\2YK65.jpg,0
../geological_similarity\andesite\2YNGL.jpg,0
../geological_similarity\andesite\2YSRD.jpg,0
../geological_similarity\andesite\2YTAW.jpg,0
../geological_similarity\andesite\2YZP1.jpg,0
../geological_similarity\andesite\2Z9MK.jpg,0
../geological_similarity\andesite\2ZG7A.jpg,0
../geological_similarity\andesite\2ZZ43.jpg,0
../geological_similarity\andesite\2ZZGJ.jpg,0
../geological_similarity\andesite\305EB.jpg,0
../geological_similarity\andesite\30AF8.jpg,0
../geological_similarity\andesite\312I3.jpg,0
../geological_similarity\andesite\31EKE.jpg,0
../geological_similarity\andesite\31KTO.jpg,0
../geological_similarity\andesite\32HYG.jpg,0
../geological_similarity\andesite\32KW4.jpg,0
../geological_similarity\andesite\32LX5.jpg,0
../geological_similarity\andesite\33O5O.jpg,0
../geological_similarity\andesite\33PMD.jpg,0
../geological_similarity\andesite\340OB.jpg,0
../geological_similarity\andesite\343ZZ.jpg,0
../geological_similarity\andesite\344NO.jpg,0
../geological_similarity\andesite\348MP.jpg,0
../geological_similarity\andesite\34B59.jpg,0
../geological_similarity\andesite\34CRV.jpg,0
../geological_similarity\andesite\34GGL.jpg,0
../geological_similarity\andesite\34WFI.jpg,0
../geological_similarity\andesite\351K6.jpg,0
../geological_similarity\andesite\35HQN.jpg,0
../geological_similarity\andesite\35MNE.jpg,0
../geological_similarity\andesite\35S3Z.jpg,0
../geological_similarity\andesite\360EG.jpg,0
../geological_similarity\andesite\36CNW.jpg,0
../geological_similarity\andesite\36PE9.jpg,0
../geological_similarity\andesite\36VR0.jpg,0
../geological_similarity\andesite\3717H.jpg,0
../geological_similarity\andesite\379HQ.jpg,0
../geological_similarity\andesite\37J63.jpg,0
../geological_similarity\andesite\386FA.jpg,0
../geological_similarity\andesite\386PQ.jpg,0
../geological_similarity\andesite\387SO.jpg,0
../geological_similarity\andesite\38A1P.jpg,0
../geological_similarity\andesite\38MAW.jpg,0
../geological_similarity\andesite\393Z4.jpg,0
../geological_similarity\andesite\399QM.jpg,0
../geological_similarity\andesite\39AY1.jpg,0
../geological_similarity\andesite\39ICQ.jpg,0
../geological_similarity\andesite\39KZV.jpg,0
../geological_similarity\andesite\39NEC.jpg,0
../geological_similarity\andesite\39XWU.jpg,0
../geological_similarity\andesite\3A2LF.jpg,0
../geological_similarity\andesite\3A6XT.jpg,0
../geological_similarity\andesite\3AIQ6.jpg,0
../geological_similarity\andesite\3AONZ.jpg,0
../geological_similarity\andesite\3AV4X.jpg,0
../geological_similarity\andesite\3B54Z.jpg,0
../geological_similarity\andesite\3BBB1.jpg,0
../geological_similarity\andesite\3BZ2V.jpg,0
../geological_similarity\andesite\3C0N9.jpg,0
../geological_similarity\andesite\3CR4V.jpg,0
../geological_similarity\andesite\3D24U.jpg,0
../geological_similarity\andesite\3D36I.jpg,0
../geological_similarity\andesite\3D7RY.jpg,0
../geological_similarity\andesite\3DZMS.jpg,0
../geological_similarity\andesite\3EESD.jpg,0
../geological_similarity\andesite\3EFLD.jpg,0
../geological_similarity\andesite\3EGGY.jpg,0
../geological_similarity\andesite\3EZAP.jpg,0
../geological_similarity\andesite\3F001.jpg,0
../geological_similarity\andesite\3F5LG.jpg,0
../geological_similarity\andesite\3FDG6.jpg,0
../geological_similarity\andesite\3FI8D.jpg,0
../geological_similarity\andesite\3FKZH.jpg,0
../geological_similarity\andesite\3FMDD.jpg,0
../geological_similarity\andesite\3FXKX.jpg,0
../geological_similarity\andesite\3G5AU.jpg,0
../geological_similarity\andesite\3GC6B.jpg,0
../geological_similarity\andesite\3GH25.jpg,0
../geological_similarity\andesite\3GVJ2.jpg,0
../geological_similarity\andesite\3GZ4A.jpg,0
../geological_similarity\andesite\3H2GF.jpg,0
../geological_similarity\andesite\3H50M.jpg,0
../geological_similarity\andesite\3I16E.jpg,0
../geological_similarity\andesite\3I3B6.jpg,0
../geological_similarity\andesite\3IB80.jpg,0
../geological_similarity\andesite\3IC3O.jpg,0
